seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
NODE_121_length_7069_cov_20.257419	7069	No terminal repeats	NA	12	11	0.9995	0.0005	2	16.3815	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_139_length_5337_cov_45.192131	5337	No terminal repeats	NA	14	11	0.9994	0.0005	1	15.5921	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_8_length_69418_cov_39.575313|provirus_40071_69376	29306	Provirus	40071-69376	40	11	0.9994	0.0006	8	44.8386	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_54_length_26387_cov_3.512947	26387	No terminal repeats	NA	38	11	0.9994	0.0006	12	49.3638	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_20_length_45101_cov_26.351425|provirus_2_35583	35582	Provirus	2-35583	48	11	0.9994	0.0006	8	61.9344	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_91_length_12292_cov_23.030908	12292	No terminal repeats	NA	19	11	0.9994	0.0006	2	25.7888	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_85_length_13034_cov_54.980321	13034	No terminal repeats	NA	24	11	0.9993	0.0006	4	30.3614	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_142_length_5142_cov_44.745763	5142	No terminal repeats	NA	11	11	0.9991	0.0006	2	10.9654	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_71_length_17327_cov_25.743895|provirus_3_4572	4570	Provirus	3-4572	11	11	0.9986	0.0007	0	11.4926	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_83_length_13396_cov_17.317432	13396	No terminal repeats	NA	11	11	0.9986	0.0008	3	13.1970	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_148_length_4769_cov_26.067212	4769	No terminal repeats	NA	9	11	0.9980	0.0009	1	10.4875	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_25_length_41557_cov_38.117596|provirus_23186_41555	18370	Provirus	23186-41555	14	11	0.9967	0.0011	4	8.8903	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_64_length_21326_cov_52.564178	21326	No terminal repeats	NA	17	11	0.9967	0.0013	2	11.3931	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_48_length_27378_cov_40.612271	27378	No terminal repeats	NA	31	11	0.9965	0.0014	4	25.3312	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_39_length_30811_cov_36.109797	30811	No terminal repeats	NA	40	11	0.9964	0.0016	2	23.7963	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_128_length_6404_cov_4.301099	6404	No terminal repeats	NA	14	11	0.9958	0.0017	0	9.5009	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_22_length_43552_cov_32.015014|provirus_2_5675	5674	Provirus	2-5675	11	11	0.9951	0.0019	1	8.4920	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_153_length_4443_cov_14.086886	4443	No terminal repeats	NA	6	11	0.9938	0.0022	0	2.7768	Unclassified
NODE_146_length_4910_cov_3.362952	4910	No terminal repeats	NA	11	11	0.9903	0.0026	1	7.2975	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_113_length_8021_cov_42.913225	8021	No terminal repeats	NA	9	11	0.9837	0.0033	1	5.0957	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_135_length_5743_cov_40.720085	5743	No terminal repeats	NA	12	11	0.9825	0.0039	0	8.3960	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_89_length_12452_cov_30.193753	12452	No terminal repeats	NA	11	11	0.9825	0.0045	0	4.5930	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
