seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
NODE_59_length_3217_cov_2.430097	3217	No terminal repeats	NA	3	11	0.9989	0.0011	2	4.5990	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_55_length_3591_cov_2.040704	3591	No terminal repeats	NA	7	11	0.9986	0.0012	2	8.1049	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_54_length_4068_cov_2.223547	4068	No terminal repeats	NA	7	11	0.9985	0.0013	1	5.6578	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_6_length_183635_cov_34.269754|provirus_44073_84222	40150	Provirus	44073-84222	59	11	0.9983	0.0014	9	58.9880	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_67_length_2427_cov_2.588261	2427	No terminal repeats	NA	2	11	0.9982	0.0015	1	3.4366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_73_length_2209_cov_2.146013	2209	No terminal repeats	NA	4	11	0.9982	0.0016	1	6.5459	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_58_length_3239_cov_1.382069	3239	No terminal repeats	NA	3	15	0.9980	0.0016	0	4.7540	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_30_length_44397_cov_41.002688	44397	No terminal repeats	NA	64	11	0.9964	0.0019	7	56.7703	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_56_length_3303_cov_1.781486	3303	No terminal repeats	NA	6	11	0.9960	0.0021	0	5.7582	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_134_length_793_cov_2.797297	793	No terminal repeats	NA	3	11	0.9953	0.0024	1	4.2474	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;
NODE_83_length_1377_cov_1.838400	1377	No terminal repeats	NA	3	11	0.9951	0.0026	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;;Autographiviridae
