qseqid,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore
r3-T3_CM008330.1_pAC0021R4_c22,NODE_9_length_108877_cov_29.479071,99.465,1122,6,0,1,1122,2580,3701,0.0,2039
r3-T3_AP022239.1_pWP8-W18-ESBL-11_1_c21,NODE_9_length_108877_cov_29.479071,99.287,1122,8,0,1,1122,2580,3701,0.0,2028
r3-T3_NZ_CP087333.1_p2LMG994_A_baumannii,NODE_9_length_108877_cov_29.479071,98.930,1122,12,0,1,1122,2580,3701,0.0,2006
r3-T3_CP028139.1_pAbNCIMB8209_134_c26,NODE_9_length_108877_cov_29.479071,99.733,1122,3,0,1,1122,2580,3701,0.0,2056
r3-T3_CP041590.1_pJ9-3_c29,NODE_9_length_108877_cov_29.479071,99.554,1122,5,0,1,1122,2580,3701,0.0,2045
r3-T3_CP062920.1_p4Res13-Abat_c31,NODE_9_length_108877_cov_29.479071,99.376,1122,7,0,1,1122,2580,3701,0.0,2034
r3-T3_CP032217.1_p2UPAB1_c27,NODE_9_length_108877_cov_29.479071,98.841,1122,13,0,1,1122,2580,3701,0.0,2001
r3-T3_CP046537.1_pXL380_c30,NODE_9_length_108877_cov_29.479071,99.376,1122,7,0,1,1122,2580,3701,0.0,2034
r3-T3_NZ_CP110466.1_pRBH2-4_A_baumannii,NODE_9_length_108877_cov_29.479071,99.198,1122,9,0,1,1122,2580,3701,0.0,2023
r3-T3_CP034093.1_pA52-1_c28,NODE_9_length_108877_cov_29.479071,99.198,1122,9,0,1,1122,2580,3701,0.0,2023
r3_T3_CP059475.1_pM175-3.1,NODE_9_length_108877_cov_29.479071,99.198,1122,9,0,1,1122,2580,3701,0.0,2023
r3-T3_CP018333.1_pA1296_1_c23,NODE_9_length_108877_cov_29.479071,99.554,1122,5,0,1,1122,2580,3701,0.0,2045
r3-T3_CP026128.1_pABA-1fe1_c24,NODE_9_length_108877_cov_29.479071,99.554,1122,5,0,1,1122,2580,3701,0.0,2045
r3-T3_CP027182.1_p4AR_0070_c25,NODE_9_length_108877_cov_29.479071,99.822,1122,2,0,1,1122,2580,3701,0.0,2061
r3-T3_CP072527.1_pDETAB4_c32,NODE_9_length_108877_cov_29.479071,98.930,1122,12,0,1,1122,2580,3701,0.0,2006
r3-T5_GU978997.1_p203_c89,NODE_73_length_4411_cov_580.256536,99.567,924,4,0,1,924,1593,2516,0.0,1685
r3-T5_CP038260.1_pEH_gr3_c91,NODE_73_length_4411_cov_580.256536,99.892,924,1,0,1,924,1593,2516,0.0,1701
r3-T5_NZ_CP027248.1_p2_100004_rep2__A_pittii,NODE_73_length_4411_cov_580.256536,99.675,924,3,0,1,924,1593,2516,0.0,1690
r3-T5_CP021348.1_pB8300_c90,NODE_73_length_4411_cov_580.256536,99.675,924,3,0,1,924,1593,2516,0.0,1690
r3-T5_NZ_CP087342.1_p1DB008_A_baumannii,NODE_73_length_4411_cov_580.256536,99.567,924,4,0,1,924,1593,2516,0.0,1685
r3-T5_CP065434.1_pAB17961-2_c98,NODE_73_length_4411_cov_580.256536,99.784,924,2,0,1,924,1593,2516,0.0,1696
r3-T5_CP099970.1_pF-1629,NODE_73_length_4411_cov_580.256536,97.730,925,19,2,1,924,1593,2516,0.0,1591
r3-T5_NZ_CP087330.1_p2OC074_A_baumannii,NODE_73_length_4411_cov_580.256536,100.000,924,0,0,1,924,1593,2516,0.0,1707
r3-T7_NC_010404.1_p3ABAYE_c2,NODE_74_length_4358_cov_14.891515,99.574,1173,5,0,1,1173,2900,4072,0.0,2139
r3-T7_CP027245.2_pOXA58_005078_c3,NODE_74_length_4358_cov_14.891515,98.465,1173,18,0,1,1173,2900,4072,0.0,2067
r3-T7_NZ_ALIG01000010.1_pAV3_rep2_A_venetianus,NODE_74_length_4358_cov_14.891515,98.295,1173,20,0,1,1173,2900,4072,0.0,2056
