#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_11_length_103280_cov_58.360862,2711,5712,-,vgrG/tssI,1-3002/3282,==============.,0/0,91.47,97.37,vfdb,WP_000898330,(vgrG/tssI) type VI secretion system tip protein VgrG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_14_length_94574_cov_42.513833,30270,30824,+,gspH,1-555/555,===============,0/0,100,100,vfdb,WP_000841373,(gspH) general secretion pathway protein H [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_14_length_94574_cov_42.513833,30814,31194,+,gspI,1-381/381,===============,0/0,100,100,vfdb,WP_000836911,(gspI) general secretion pathway protein I [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_14_length_94574_cov_42.513833,31895,32854,+,gspK,1-960/960,===============,0/0,100,99.9,vfdb,WP_000301479,(gspK) general secretion pathway protein K [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_16_length_85218_cov_46.910472,54363,56591,-,plc2,1-2229/2229,===============,0/0,100,100,vfdb,WP_000632986,(plc2) phospholipase C [Phospholipase C (VF0470) - Exotoxin (VFC0235)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_17_length_82715_cov_55.016915,26737,27162,-,pilE,1-426/426,===============,0/0,100,100,vfdb,WP_000788342,(pilE) type IV pilin protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_17_length_82715_cov_55.016915,27159,27641,-,ACICU_RS16840,1-483/483,===============,0/0,100,100,vfdb,WP_001046420,(ACICU_RS16840) prepilin-type N-terminal cleavage/methylation domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_17_length_82715_cov_55.016915,27654,31508,-,pilY1,1-3855/3855,===============,0/0,100,98.86,vfdb,WP_000768964,(pilY1) VWA domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_17_length_82715_cov_55.016915,31520,32338,-,pilX,1-819/819,===============,0/0,100,98.66,vfdb,WP_000149377,(pilX) hypothetical protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_17_length_82715_cov_55.016915,32335,33336,-,pilW,1-1002/1002,===============,0/0,100,99.3,vfdb,WP_000079192,(pilW) PilW family protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_17_length_82715_cov_55.016915,33337,33897,-,pilV,1-561/561,===============,0/0,100,99.82,vfdb,WP_002194578,(pilV) type IV pilus modification protein PilV [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_17_length_82715_cov_55.016915,33891,34364,-,fimU,1-474/474,===============,0/0,100,98.52,vfdb,WP_001214067,(fimU) GspH/FimT family pseudopilin [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_17_length_82715_cov_55.016915,43663,44097,-,pilA,1-438/438,========/======,3-Jan,99.32,95.89,vfdb,WP_000993715,(pilA) pilin [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_17_length_82715_cov_55.016915,56891,59056,-,pilQ,1-2166/2166,===============,0/0,100,98.43,vfdb,WP_001017033,(pilQ) type IV pilus secretin PilQ [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_17_length_82715_cov_55.016915,59124,59651,-,pilP,1-528/528,===============,0/0,100,99.24,vfdb,WP_000695065,(pilP) pilus assembly protein PilP [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_17_length_82715_cov_55.016915,59662,60402,-,pilO,1-741/741,===============,0/0,100,99.59,vfdb,WP_000076098,(pilO) type 4a pilus biogenesis protein PilO [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_17_length_82715_cov_55.016915,60399,61040,-,pilN,1-642/642,===============,0/0,100,99.53,vfdb,WP_000201227,(pilN) PilN domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_17_length_82715_cov_55.016915,61040,62098,-,pilM,1-1059/1059,===============,0/0,100,98.77,vfdb,WP_004644147,(pilM) pilus assembly protein PilM [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_1_length_252629_cov_59.176003,29307,30167,-,gspO/pilD,1-861/861,===============,0/0,100,98.14,vfdb,WP_001152285,(gspO/pilD) A24 family peptidase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_1_length_252629_cov_59.176003,30167,31393,-,pilC,1-1227/1227,===============,0/0,100,99.51,vfdb,WP_000279216,(pilC) type II secretion system F family protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_1_length_252629_cov_59.176003,31423,33135,-,pilB,1-1713/1713,===============,0/0,100,99.07,vfdb,WP_001274990,(pilB) type IV-A pilus assembly ATPase PilB [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_1_length_252629_cov_59.176003,81816,83021,+,gspF,1-1206/1206,===============,0/0,100,98.59,vfdb,WP_001112089,(gspF) general secretion pathway protein F [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770799.fasta,NODE_1_length_252629_cov_59.176003,83045,83626,+,gspG,1-582/582,===============,0/0,100,98.97,vfdb,WP_000865310,(gspG) general secretion pathway protein G [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
