#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_10_length_171559_cov_59.898607,106677,109671,+,vgrG/tssI,1-2995/3282,==============.,0/0,91.26,95.12,vfdb,WP_000898330,(vgrG/tssI) type VI secretion system tip protein VgrG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_10_length_171559_cov_59.898607,153801,154703,+,lpxC,1-903/903,===============,0/0,100,98.67,vfdb,WP_000240700,(lpxC) UDP-3-O-acyl-N-acetylglucosamine deacetylase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_11_length_169124_cov_58.599111,97451,98167,+,bfmR,1-717/717,===============,0/0,100,99.3,vfdb,WP_000076440,(bfmR) biofilm-controlling response regulator [BfmRS (VF0463) - Regulation (VFC0301)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_11_length_169124_cov_58.599111,98200,99849,+,bfmS,1-1650/1650,===============,0/0,100,97.76,vfdb,WP_000472465,(bfmS) signal transduction histidine kinase [BfmRS (VF0463) - Regulation (VFC0301)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_13_length_162780_cov_61.890657,5992,7146,+,tsaP,1-1155/1155,===============,0/0,100,98.44,vfdb,WP_000755268,(tsaP) LysM peptidoglycan-binding domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_13_length_162780_cov_61.890657,59823,60539,-,abaR,1-717/717,===============,0/0,100,98.47,vfdb,WP_000446779,(abaR) DNA-binding HTH domain-containing protein [Quorom sensing (VF0471) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_13_length_162780_cov_61.890657,61778,62344,+,abaI,1-567/567,===============,0/0,100,98.59,vfdb,WP_002023245,(abaI) N-acyl-L-homoserine lactone synthetase [Quorom sensing (VF0471) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_13_length_162780_cov_61.890657,87673,90235,-,vgrG/tssI,1-2564/2847,========/=====.,1-Jan,90.02,94.38,vfdb,WP_001178477,(vgrG/tssI) type VI secretion system tip protein VgrG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_13_length_162780_cov_61.890657,109036,110400,+,ACICU_RS00500,1-1365/1371,===============,0/0,99.56,98.02,vfdb,WP_000209960,(ACICU_RS00500) phosphomannomutase/phosphoglucomutase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_13_length_162780_cov_61.890657,112430,113430,-,galE,1-1001/1017,===============,0/0,98.43,94.91,vfdb,WP_001062908,(galE) UDP-glucose 4-epimerase GalE [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_13_length_162780_cov_61.890657,113423,115093,-,pgi,1-1671/1671,===============,0/0,100,89.95,vfdb,WP_000045495,(pgi) glucose-6-phosphate isomerase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_13_length_162780_cov_61.890657,115090,116352,-,ACICU_RS00485,1-1263/1263,========/======,2-Feb,99.92,86.16,vfdb,WP_000686134,(ACICU_RS00485) nucleotide sugar dehydrogenase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_13_length_162780_cov_61.890657,116468,117343,-,galU,1-876/876,===============,0/0,100,85.39,vfdb,WP_000591436,(galU) UTP--glucose-1-phosphate uridylyltransferase GalU [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_13_length_162780_cov_61.890657,124888,126117,-,tviB,22-1251/1275,========/======,2-Feb,96.39,82.86,vfdb,WP_001165095,(tviB) Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_13_length_162780_cov_61.890657,135626,137793,-,plc1,1-2168/2169,===============,0/0,99.95,97.19,vfdb,WP_001081735,(plc1) phospholipase C [Phospholipase C (VF0470) - Exotoxin (VFC0235)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_15_length_84077_cov_60.605158,77283,78773,+,gspE1,1-1491/1491,===============,0/0,100,98.52,vfdb,WP_001166319,(gspE1) general secretion pathway protein E [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_16_length_81289_cov_59.341995,16636,17694,+,pilM,1-1059/1059,===============,0/0,100,99.34,vfdb,WP_004644147,(pilM) pilus assembly protein PilM [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_16_length_81289_cov_59.341995,17694,18335,+,pilN,1-642/642,===============,0/0,100,99.53,vfdb,WP_000201227,(pilN) PilN domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_16_length_81289_cov_59.341995,18332,19072,+,pilO,1-741/741,===============,0/0,100,99.06,vfdb,WP_000076098,(pilO) type 4a pilus biogenesis protein PilO [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_16_length_81289_cov_59.341995,19083,19610,+,pilP,1-528/528,===============,0/0,100,99.05,vfdb,WP_000695065,(pilP) pilus assembly protein PilP [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_16_length_81289_cov_59.341995,19673,21838,+,pilQ,1-2166/2166,===============,0/0,100,98.66,vfdb,WP_001017033,(pilQ) type IV pilus secretin PilQ [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_16_length_81289_cov_59.341995,44571,45044,+,fimU,1-474/474,===============,0/0,100,99.16,vfdb,WP_001214067,(fimU) GspH/FimT family pseudopilin [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_16_length_81289_cov_59.341995,45038,45598,+,pilV,1-561/561,===============,0/0,100,99.64,vfdb,WP_002194578,(pilV) type IV pilus modification protein PilV [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_16_length_81289_cov_59.341995,45599,46600,+,pilW,1-1002/1002,===============,0/0,100,99.3,vfdb,WP_000079192,(pilW) PilW family protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_16_length_81289_cov_59.341995,46597,47415,+,pilX,1-819/819,===============,0/0,100,99.02,vfdb,WP_000149377,(pilX) hypothetical protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_16_length_81289_cov_59.341995,47427,51281,+,pilY1,1-3855/3855,===============,0/0,100,97.35,vfdb,WP_000768964,(pilY1) VWA domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_16_length_81289_cov_59.341995,51294,51776,+,ACICU_RS16840,1-483/483,===============,0/0,100,97.1,vfdb,WP_001046420,(ACICU_RS16840) prepilin-type N-terminal cleavage/methylation domain-containing protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_16_length_81289_cov_59.341995,51773,52198,+,pilE,1-426/426,===============,0/0,100,99.3,vfdb,WP_000788342,(pilE) type IV pilin protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_1_length_303777_cov_51.647907,18406,19194,-,lpxA,1-789/789,===============,0/0,100,99.49,vfdb,WP_000064875,(lpxA) acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_1_length_303777_cov_51.647907,19683,20753,-,lpxD,1-1071/1071,===============,0/0,100,99.25,vfdb,WP_000868104,(lpxD) UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_1_length_303777_cov_51.647907,83829,86057,-,plc2,1-2229/2229,===============,0/0,100,98.79,vfdb,WP_000632986,(plc2) phospholipase C [Phospholipase C (VF0470) - Exotoxin (VFC0235)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_1_length_303777_cov_51.647907,208969,209433,-,pgaD,1-465/465,===============,0/0,100,98.28,vfdb,WP_000786639,(pgaD) poly-beta-16-N-acetyl-D-glucosamine biosynthesis protein PgaD [PNAG (VF0472) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_1_length_303777_cov_51.647907,209430,210677,-,pgaC,1-1248/1248,===============,0/0,100,97.52,vfdb,WP_000866237,(pgaC) poly-beta-16 N-acetyl-D-glucosamine synthase [PNAG (VF0472) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_1_length_303777_cov_51.647907,210677,212506,-,pgaB,1-1830/1830,===============,0/0,100,98.25,vfdb,WP_001061322,(pgaB) poly-beta-16-N-acetyl-D-glucosamine N-deacetylase PgaB [PNAG (VF0472) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_1_length_303777_cov_51.647907,212506,214944,-,pgaA,1-2439/2439,===============,0/0,100,98.4,vfdb,,(pgaA) poly-beta-16 N-acetyl-D-glucosamine export porin PgaA [PNAG (VF0472) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_1_length_303777_cov_51.647907,277224,278243,-,csuE,1-1020/1020,===============,0/0,100,97.75,vfdb,WP_001022730,(csuE) Csu pilus tip adhesin CsuE [Csu fimbriae (VF0461) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_1_length_303777_cov_51.647907,278240,280738,-,csuD,1-2499/2499,===============,0/0,100,98.6,vfdb,WP_000603301,(csuD) Csu pilus usher protein CsuD [Csu fimbriae (VF0461) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_1_length_303777_cov_51.647907,280735,281568,-,csuC,1-834/834,===============,0/0,100,98.68,vfdb,WP_001988023,(csuC) Csu pilus chaperone protein CsuC  [Csu fimbriae (VF0461) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_1_length_303777_cov_51.647907,281562,282080,-,csuB,1-519/519,===============,0/0,100,98.65,vfdb,WP_000876480,(csuB) Csu pilus subunit CsuB [Csu fimbriae (VF0461) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_1_length_303777_cov_51.647907,282086,282634,-,csuA,1-548/548,========/======,1-Jan,100,98,vfdb,,(csuA) Csu pilus subunit CsuA [Csu fimbriae (VF0461) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_1_length_303777_cov_51.647907,282709,283245,-,csuA/B,1-537/537,===============,0/0,100,98.88,vfdb,WP_000790104,(csuA/B) Csu pilus major pilin subunit CsuA/B [Csu fimbriae (VF0461) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_20_length_50746_cov_64.454513,8217,9638,-,pilR,1-1422/1422,===============,0/0,100,96.55,vfdb,WP_000840548,(pilR) sigma-54 dependent transcriptional regulator [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_20_length_50746_cov_64.454513,9663,11231,-,pilS,1-1569/1569,===============,0/0,100,98.34,vfdb,WP_001160337,(pilS) PAS domain-containing sensor histidine kinase [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_20_length_50746_cov_64.454513,12090,13136,+,pbpG,1-1047/1047,===============,0/0,100,98.76,vfdb,WP_003384760,(pbpG) D-alanyl-D-alanine endopeptidase PBP7/8 [PbpG (VF0468) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_20_length_50746_cov_64.454513,42538,43281,+,gspN,1-744/744,===============,0/0,100,99.6,vfdb,WP_000730343,(gspN) type II secretion system protein N [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770805.fasta,NODE_20_length_50746_cov_64.454513,43281,44117,+,gspC,1-837/837,===============,0/0,100,98.69,vfdb,WP_000870033,(gspC) general secretion pathway protein C [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
