#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
/home/kien1211/Downloads/fasta/ERR5770800.fasta,NODE_102_length_10179_cov_29.013430,4584,6767,-,ACICU_RS00395,1-2187/2187,========/======,3-Jan,99.86,88.89,vfdb,WP_001075965,(ACICU_RS00395) polysaccharide biosynthesis tyrosine autokinase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770800.fasta,NODE_102_length_10179_cov_29.013430,6786,7214,-,ACICU_RS00400,1-429/429,===============,0/0,100,84.38,vfdb,WP_001165990,(ACICU_RS00400) low molecular weight phosphotyrosine protein phosphatase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770800.fasta,NODE_102_length_10179_cov_29.013430,7219,8319,-,ACICU_RS00405,1-1101/1101,===============,0/0,100,86.56,vfdb,WP_000872593,(ACICU_RS00405) polysaccharide biosynthesis/export family protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770800.fasta,NODE_102_length_10179_cov_29.013430,8675,9949,+,tviB,1-1275/1275,===============,0/0,100,92.78,vfdb,WP_001165095,(tviB) Vi polysaccharide biosynthesis UDP-N-acetylglucosamine C-6 dehydrogenase TviB [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770800.fasta,NODE_104_length_9444_cov_17.211119,3062,5592,-,vgrG/tssI,1-2531/2847,==============.,0/0,88.9,97.75,vfdb,WP_001178477,(vgrG/tssI) type VI secretion system tip protein VgrG [T6SS (VF1337) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770800.fasta,NODE_108_length_8581_cov_33.633191,4735,5214,-,gspM,1-480/480,===============,0/0,100,100,vfdb,WP_000783000,(gspM) general secretion pathway protein M [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770800.fasta,NODE_108_length_8581_cov_33.633191,5214,6353,-,gspL,1-1140/1140,===============,0/0,100,100,vfdb,WP_001989189,(gspL) general secretion pathway protein L [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770800.fasta,NODE_10_length_63061_cov_41.084994,1,5964,+,bap,106-6069/6069,===============,0/0,98.27,99.95,vfdb,WP_193759656,(bap) biofilm-associated protein [Bap (VF0462) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770800.fasta,NODE_115_length_7937_cov_25.436492,151,1251,+,ACICU_RS00405,1-1101/1101,===============,0/0,100,89.92,vfdb,WP_000872593,(ACICU_RS00405) polysaccharide biosynthesis/export family protein [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770800.fasta,NODE_115_length_7937_cov_25.436492,1256,1684,+,ACICU_RS00400,1-429/429,===============,0/0,100,88.34,vfdb,WP_001165990,(ACICU_RS00400) low molecular weight phosphotyrosine protein phosphatase [Capsule (VF0465) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
