#FILE,SEQUENCE,START,END,STRAND,GENE,COVERAGE,COVERAGE_MAP,GAPS,%COVERAGE,%IDENTITY,DATABASE,ACCESSION,PRODUCT,RESISTANCE
/home/kien1211/Downloads/fasta/ERR5770787.fasta,NODE_11_length_103074_cov_30.759478,44349,45332,-,lpxM,1-984/984,===============,0/0,100,100,vfdb,WP_001984639,(lpxM) lysophospholipid acyltransferase family protein [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770787.fasta,NODE_12_length_102161_cov_27.353823,35822,38260,+,pgaA,1-2439/2439,===============,0/0,100,99.92,vfdb,,(pgaA) poly-beta-16 N-acetyl-D-glucosamine export porin PgaA [PNAG (VF0472) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770787.fasta,NODE_12_length_102161_cov_27.353823,38260,40089,+,pgaB,1-1830/1830,===============,0/0,100,100,vfdb,WP_001061322,(pgaB) poly-beta-16-N-acetyl-D-glucosamine N-deacetylase PgaB [PNAG (VF0472) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770787.fasta,NODE_12_length_102161_cov_27.353823,40089,41336,+,pgaC,1-1248/1248,===============,0/0,100,100,vfdb,WP_000866237,(pgaC) poly-beta-16 N-acetyl-D-glucosamine synthase [PNAG (VF0472) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770787.fasta,NODE_12_length_102161_cov_27.353823,41333,41797,+,pgaD,1-465/465,===============,0/0,100,100,vfdb,WP_000786639,(pgaD) poly-beta-16-N-acetyl-D-glucosamine biosynthesis protein PgaD [PNAG (VF0472) - Biofilm (VFC0271)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770787.fasta,NODE_17_length_82840_cov_34.908999,20152,21516,-,fimV,1-1365/1365,===============,0/0,100,97.88,vfdb,WP_000128073,(fimV) hypothetical protein [TFP (VF1334) - Adherence (VFC0001)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770787.fasta,NODE_17_length_82840_cov_34.908999,26126,27226,-,lpsB,1-1101/1101,===============,0/0,100,95.82,vfdb,WP_000867091,(lpsB) glycosyltransferase family 4 protein [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770787.fasta,NODE_17_length_82840_cov_34.908999,27492,28427,-,lpxL,1-936/936,===============,0/0,100,96.58,vfdb,WP_000078878,(lpxL) lauroyl acyltransferase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770787.fasta,NODE_18_length_81641_cov_24.110668,10255,11430,-,lpxB,1-1176/1176,===============,0/0,100,100,vfdb,WP_000013434,(lpxB) lipid-A-disaccharide synthase [LPS (VF0466) - Immune modulation (VFC0258)] [Acinetobacter baumannii ACICU],
/home/kien1211/Downloads/fasta/ERR5770787.fasta,NODE_19_length_78621_cov_25.602849,21744,22703,-,gspK,1-960/960,===============,0/0,100,99.9,vfdb,WP_000301479,(gspK) general secretion pathway protein K [T2SS (VF1335) - Effector delivery system (VFC0086)] [Acinetobacter baumannii ACICU],
